patent_id,title,abstract,description,country,cpc,cpc_low,cpc_inventive_low,top_terms,url,claims,publication_date,filing_date,priority_date,family_id,applicant,inventors,source,source_status
KR-870000162-U,Slide fastener separator,"A bottom-end-stop assembly for a slide fastener comprises a pair of intercoupling male and female members (1), (2) of thermoplastic synthetic resin adapted to be molded on adjacent bottom ends of opposed fastener stringers (19), (20). The male member (1) has an inner longitudinal projection (5) and a pivot pin (6). The female member (2) has an inner longitudinal groove (8) receptive of the projection (5), and an inwardly opening support hole (10) receptive of the pivot pin (6) for pivotal movement of the male member (1). The male member (1) has at least one aperture (4) in the projection (5) so that the stringer tape (19) is clamped between a pair of mold members (22), (23) so as not to become wavy during the molding. The male member (1) also has on opposite surfaces a pair of reinforcing ridges (7), (7) remote from the inner longitudinal side of the male member (1).",,South Korea,Y10T24/2593; Y10T24/2593; Y10T24/2595; Y10T24/2595; A44B19/38; A44B19/28; A44B19/38,Y10T24/2593; Y10T24/25; Y10T24/00; Y10T; Y10; Y; Y10T24/2595; A44B19/38; A44B19/24; A44B19/00; A44B; A44; A; A44B19/28; A44B19/26,Y10T24/2593; Y10T24/25; Y10T24/00; Y10T; Y10; Y; Y10T24/2595; A44B19/38; A44B19/24; A44B19/00; A44B; A44; A; A44B19/28; A44B19/26,male member; pair; projection; inner longitudinal; male; slide fastener; receptive; pivot pin; female; members,https://patents.google.com/patent/KR870000162U,,,,,,,,Google Patents Public Data,LIVE_DATASET
KR-890701107-A,Compounds for the treatment of Alzheimer&#39;s disease,Compounds of formula (I) are of use in treating Alzheimer&#39;s disease.,,South Korea,C07D491/10; A61K31/675; A61K31/665; A61K31/55; A61P25/28; A61K31/55,C07D491/10; C07D491/02; C07D491/00; C07D; C07; C; A61K31/675; A61K31/66; A61K31/00; A61K; A61; A; A61K31/665; A61K31/55; A61K31/395; A61K31/33; A61P25/28; A61P25/00; A61P,C07D491/10; C07D491/02; C07D491/00; C07D; C07; C; A61K31/675; A61K31/66; A61K31/00; A61K; A61; A; A61K31/665; A61K31/55; A61K31/395; A61K31/33; A61P25/28; A61P25/00; A61P,disease; compounds; alzheimer; treatment; formula; treating alzheimer; treating,https://patents.google.com/patent/KR890701107A,,,,,,,,Google Patents Public Data,LIVE_DATASET
KR-900009424-A,Precision liquid distributor,"A precision liquid dispenser comprises a positive displacement diaphragm pump and a hydraulic system for selectively deforming the diaphragm. The diaphragm pump comprises: pump body 109, pump cavity 110, pump diaphragm 111, and pump input/output port 117. A solenoid operated valve assembly 125 selectively connects the port 117 to a source of liquid to be dispensed 113 and to an output filter 123. A hydraulic system for selectively deforming diaphragm 111 comprises: body 104 with cavity 106, piston 107, sealing ring 108 and hydraulic fluid in the space between the top of piston 107 and diaphragm 11. The position of piston 107 is controlled by the stepping motor 102 and the mechanical coupling of the output shaft of the motor to the piston 107, Mating threads on the shaft 120 and on the interior of the member 121 convert rotary motion of the motor output shaft to linear motion of the piston 107. The volume of fluid dispensed per cycle of dispenser operation is determined by the number of pulses applied to the stepping motor 102; and the output flow pattern as a function of time is controlled by the pattern of pulses applied to motor 102 by the control logic 150. The solenoid valve assembly 125, under the control of signals from the dispenser control logic 150, selectively connects the valve input port 115 to the valve input/output port 116, or connects the input/output port 116 to the valve output port 112. Valve control signals from control logic 150 are coordinated in time with control signals for the reversible motor 102 over path 151.",,South Korea,F04B7/0076; B67D1/12; F04B43/067; F04B43/067; F04B7/0076,F04B7/0076; F04B7/00; F04B; F04; F; B67D1/12; B67D1/08; B67D1/00; B67D; B67; B; F04B43/067; F04B43/06; F04B43/02; F04B43/00,F04B7/0076; F04B7/00; F04B; F04; F; B67D1/12; B67D1/08; B67D1/00; B67D; B67; B; F04B43/067; F04B43/06; F04B43/02; F04B43/00,diaphragm; pump; piston; motor; valve; output; input; port; output port; control logic,https://patents.google.com/patent/KR900009424A,,,,,,,,Google Patents Public Data,LIVE_DATASET
KR-960014695-A,Automatic Clutch Control and Calibration,"An automated clutch (16) control and calibration is provided. Clutch control parameter values (TP and AP) corresponding to the clutch touch point condition and the approach point condition, respectively, are determined and are utilized to control reengagement of the automated clutch. &lt;IMAGE&gt;   &lt;IMAGE&gt;",,South Korea,F16D2500/7106; F16D2500/70472; B60W30/1819; F16D48/066; F16D2500/7041; B60W10/06; B60W2710/023; F16D2500/30816; B60W30/18; B60W10/04; F16D2500/31466; B60W2710/022; F16D2500/70454; B60W10/11; B60W10/02; F16D2500/3067; F16D2500/5012; B60W2710/065; B60W10/10; F16D2500/3144; F16D2500/70488; B60W2510/0225; F16D2500/50245; F16D2500/30825; F16D13/385; F16D2500/3067; F16D2500/5012; F16D2500/50245; F16D48/066; F16D2500/7041; F16D2500/30825; F16D2500/31466; F16D2500/30816; F16D2500/5012; B60W10/10; F16D48/066; B60W10/02; F16D2500/7106; F16D2500/7041; B60W30/18; B60W2710/065; F16D2500/30816; F16D2500/3144; B60W10/11; F16D2500/70454; F16D2500/3067; B60W10/04; B60W10/06; B60W30/1819; B60W2710/023; F16D2500/70472; B60W2510/0225; F16D2500/50245; F16D2500/70488; B60W2710/022; F16D2500/31466; F16D2500/30825,F16D2500/7106; F16D2500/71; F16D2500/70; F16D2500/00; F16D; F16; F; F16D2500/70472; F16D2500/70466; F16D2500/70464; F16D2500/704; B60W30/1819; B60W30/18; B60W30/00; B60W; B60; B; F16D48/066; F16D48/06; F16D48/00; F16D2500/7041; F16D2500/70402; B60W10/06; B60W10/04; B60W10/00; B60W2710/023; B60W2710/021; B60W2710/02; B60W2710/00; F16D2500/30816; F16D2500/3081; F16D2500/308; F16D2500/30; F16D2500/31466; F16D2500/3146; F16D2500/314; B60W2710/022; F16D2500/70454; F16D2500/70452; B60W10/11; B60W10/10; B60W10/02; F16D2500/3067; F16D2500/306; F16D2500/5012; F16D2500/501; F16D2500/50; B60W2710/065; B60W2710/0644; B60W2710/06; F16D2500/3144; F16D2500/31406; F16D2500/70488; B60W2510/0225; B60W2510/0208; B60W2510/02; B60W2510/00; F16D2500/50245; F16D2500/502; F16D2500/30825; F16D2500/3082; F16D13/385; F16D13/38; F16D13/22; F16D13/00,F16D2500/7106; F16D2500/71; F16D2500/70; F16D2500/00; F16D; F16; F; F16D2500/70472; F16D2500/70466; F16D2500/70464; F16D2500/704; B60W30/1819; B60W30/18; B60W30/00; B60W; B60; B; F16D48/066; F16D48/06; F16D48/00; F16D2500/7041; F16D2500/70402; B60W10/06; B60W10/04; B60W10/00; B60W2710/023; B60W2710/021; B60W2710/02; B60W2710/00; F16D2500/30816; F16D2500/3081; F16D2500/308; F16D2500/30; F16D2500/31466; F16D2500/3146; F16D2500/314; B60W2710/022; F16D2500/70454; F16D2500/70452; B60W10/11; B60W10/10; B60W10/02; F16D2500/3067; F16D2500/306; F16D2500/5012; F16D2500/501; F16D2500/50; B60W2710/065; B60W2710/0644; B60W2710/06; F16D2500/3144; F16D2500/31406; F16D2500/70488; B60W2510/0225; B60W2510/0208; B60W2510/02; B60W2510/00; F16D2500/50245; F16D2500/502; F16D2500/30825; F16D2500/3082; F16D13/385; F16D13/38; F16D13/22; F16D13/00,calibration; clutch control; automatic clutch; clutch; control; image; point condition; automated; reengagement; utilized,https://patents.google.com/patent/KR960014695A,,,,,,,,Google Patents Public Data,LIVE_DATASET
PH-22009000374-U3,A footing for matting and the like,"The present utility model relates to a footing for matting and the like especially used in poultry floorings to raise it above the ground to provide better airflow under the flooring, further would allow installation of manure catcher or holder to easily collect the manure and to ensure the cleanliness in the poultry house. It is made sturdy to support both the poultry and raiser or worker. It is defined with a unitary and generally inverted T-shaped elongated body having a base integrally supporting an upstanding panel having plurality of spaced supporting braces on its opposed side portions and opposed end portions.",,Philippines,,,,poultry; footing; matting; manure; floorings; raiser; flooring; cleanliness; unitary; worker,https://patents.google.com/patent/PH22009000374U3,,,,,,,,Google Patents Public Data,LIVE_DATASET
PH-22020050732-U3,A process of vacuum forming for fabricating face shield,"The present utility model relates to a process of vacuum forming for fabricating a face mask comprising of (a) creating a three-dimensional (3-D) printed mold, (b) using of 3-D printing; (c) cleaning and removing rough edges and sidings of printed mold; (d) utilizing vacuum equipment; and (e) fabricating a facial mask. The utility model advantageously enables fabricate face shields in a cost-effective and uncomplicated manner. Face masks made in accordance with the utility model are lighter in weight than conventional face shields and offer numerous advantages to conventional face shields.",,Philippines,,,,fabricating; utility; vacuum forming; model; face; face shield; face shields; shields; printed mold; mask,https://patents.google.com/patent/PH22020050732U3,,,,,,,,Google Patents Public Data,LIVE_DATASET
PH-22022051313-U3,FORMULATION OF NEW COCOYAM (Xanthosoma sagittifolium (L.) Schott) BREADING MIX,"The present utility model identifies the formulation of new cocoyam (Xanthosoma sagittifolium (L.) Schott) breading mix. Breading mix is a powder form coating used for fried food to add texture and flavor. It is primarily made of flour and various seasonings. On the other hand, New cocoyam also known as `Bisol&#34;, Karlang or Tacudo&#34; in Eastern Visayas is a fast-growing crop that is widely cultivated because of its economic value. It can produce up to 10 or more corms filled with vitamins and minerals, carbohydrates, fiber and starch. Incorporating New Cocoyam in making a breading mix is a great initiative and is highly nutritious and delicious at the same time economical.",,Philippines,,,,cocoyam; new; schott; formulation; breading mix; breading; mix; xanthosoma sagittifolium; sagittifolium; xanthosoma,https://patents.google.com/patent/PH22022051313U3,,,,,,,,Google Patents Public Data,LIVE_DATASET
NO-20000617-L,Water Purification Process,"Method and system for extraction of fat or oil-soluble components, e.g. PAH, NDP and/or BTX, from produced water being separated from an oil or gas plant. The method is characterized by injection of a liquid consisting of hydrocarbons from the oil or gas plant into the water flow, the injection liquid having a lower content of the oil soluble components than the original oil phase in equilibrium with the water, the injection liquid is atomized into the whole water phase and the water/hydrocarbon mixture is given a predetermined retention time thus to allow mass transferring of the oil soluble components from the water to the injection liquid, before the injection liquid is separated from the water in a separator, preferably a hydro cyclone, the injection liquid being adapted to the separators working range for pressure and temperature.",Abstract,Norway,C02F2101/32; C02F1/26; C02F1/38; C02F2101/32; C02F1/26; C02F1/38,C02F2101/32; C02F2101/30; C02F2101/00; C02F; C02; C; C02F1/26; C02F1/00; C02F1/38,C02F2101/32; C02F2101/30; C02F2101/00; C02F; C02; C; C02F1/26; C02F1/00; C02F1/38,water; oil; injection liquid; soluble components; injection; liquid; separated; gas plant; phase; water purification,https://patents.google.com/patent/NO20000617L,,,,,,,,Google Patents Public Data,LIVE_DATASET
NO-20000692-L,Method and apparatus for generating basis sets for use in spectroscopic analysis,,Abstract,Norway,G01N21/359; G01N21/274; G01N21/27; G01N21/274; G01N21/359,G01N21/359; G01N21/35; G01N21/31; G01N21/25; G01N21/17; G01N21/00; G01N; G01; G; G01N21/274; G01N21/27,G01N21/359; G01N21/35; G01N21/31; G01N21/25; G01N21/17; G01N21/00; G01N; G01; G; G01N21/274; G01N21/27,spectroscopic analysis; basis sets; generating basis; generating; sets; spectroscopic; analysis; basis,https://patents.google.com/patent/NO20000692L,,,,,,,,Google Patents Public Data,LIVE_DATASET
NO-20002324-L,Covered bridge gasket,,Abstract,Norway,F16J15/0887; F01D11/005; F16J15/0887; F01D11/005; F16J15/08,F16J15/0887; F16J15/08; F16J15/06; F16J15/02; F16J15/00; F16J; F16; F; F01D11/005; F01D11/00; F01D; F01,F16J15/0887; F16J15/08; F16J15/06; F16J15/02; F16J15/00; F16J; F16; F; F01D11/005; F01D11/00; F01D; F01,bridge gasket; covered bridge; covered; gasket; bridge,https://patents.google.com/patent/NO20002324L,,,,,,,,Google Patents Public Data,LIVE_DATASET
