publication_number,title,abstract,filing_date,publication_date,patent_text
US-2021352690-A1,Method and system for transmitting or receiving feedback in wireless communication system supporting nb-iot,"Provided is a method for receiving, by a user equipment (UE), a feedback from a base station in a wireless communication system supporting narrowband (NB)-internet of things (IoT). Specifically, the UE receives, from the base station, a preconfigured uplink (UL) resource (PUR) configuration via RRC signalling, transmits, to the base station, uplink data on the PUR when the UE is in an idle mode, and receive, from the base station, the feedback for the uplink data. The feedback is configured to be received on an NPDCCH after a specific time has passed from the PUR transmission.",20190927,20211111,"Method and system for transmitting or receiving feedback in wireless communication system supporting nb-iot. Provided is a method for receiving, by a user equipment (UE), a feedback from a base station in a wireless communication system supporting narrowband (NB)-internet of things (IoT). Specifically, the UE receives, from the base station, a preconfigured uplink (UL) resource (PUR) configuration via RRC signalling, transmits, to the base station, uplink data on the PUR when the UE is in an idle mode, and receive, from the base station, the feedback for the uplink data. The feedback is configured to be received on an NPDCCH after a specific time has passed from the PUR transmission."
US-2021393510-A1,Probiotic skin formulations,"Described herein are dermatological compositions, formulations containing wild type or genetically modified Cutibacterium bacteria and methods for use thereof of skin. The cosmetic and therapeutic formulations described herein can be used as cosmetic daily skin treatments or for treating skin inflammation or disorders including acne, psoriasis, rosacea, dermatitis, or eczema.",20210622,20211223,"Probiotic skin formulations. Described herein are dermatological compositions, formulations containing wild type or genetically modified Cutibacterium bacteria and methods for use thereof of skin. The cosmetic and therapeutic formulations described herein can be used as cosmetic daily skin treatments or for treating skin inflammation or disorders including acne, psoriasis, rosacea, dermatitis, or eczema."
US-2022129785-A1,Shared prediction engine for machine learning model deployment,"There are provided systems and methods for a shared prediction engine for machine learning model deployment. A service provider may provide AI hosting platforms that allow for clients, customers, and other end users to upload AI models for execution, such as machine learning models. A user may utilize one or more user interfaces provided to a client device by the service provider to select machine learning models to perform predictive services based on input features provided in an input string. Thereafter, a machine learning engine may host and execute the models during an instance of the engine provided to the client device. The engine may then process the input features in a processing thread remotely from the client device during the instance so that machine learning predictions may be determined. Thereafter, an output string for the predictions and model explanations may be provided to the client device.",20201027,20220428,"Shared prediction engine for machine learning model deployment. There are provided systems and methods for a shared prediction engine for machine learning model deployment. A service provider may provide AI hosting platforms that allow for clients, customers, and other end users to upload AI models for execution, such as machine learning models. A user may utilize one or more user interfaces provided to a client device by the service provider to select machine learning models to perform predictive services based on input features provided in an input string. Thereafter, a machine learning engine may host and execute the models during an instance of the engine provided to the client device. The engine may then process the input features in a processing thread remotely from the client device during the instance so that machine learning predictions may be determined. Thereafter, an output string for the predictions and model explanations may be provided to the client device."
US-2022277729-A1,Identifying language in music,"The present disclosure describes techniques for identifying languages associated with music. Training data may be received, wherein the training data comprise information indicative of audio data representative of a plurality of music samples and metadata associated with the plurality of music samples. The training data further comprises information indicating a language corresponding to each of the plurality of music samples. A machine learning model may be trained to identify a language associated with a piece of music by applying the training data to the machine model until the model reaches a predetermined recognition accuracy. A language associated with the piece of music may be determined using the trained machine learning model.",20210226,20220901,"Identifying language in music. The present disclosure describes techniques for identifying languages associated with music. Training data may be received, wherein the training data comprise information indicative of audio data representative of a plurality of music samples and metadata associated with the plurality of music samples. The training data further comprises information indicating a language corresponding to each of the plurality of music samples. A machine learning model may be trained to identify a language associated with a piece of music by applying the training data to the machine model until the model reaches a predetermined recognition accuracy. A language associated with the piece of music may be determined using the trained machine learning model."
US-2022309081-A1,"System, device and method of managing an asset model for assets in an industrial internet of things (iiot) environment","The present invention discloses a system, device and method of managing an asset model for assets in an Industrial Internet of Things (IIoT) environment. The method includes receiving heterogenous data streams associated with the IIoT environment ( 180, 280 ); obtaining an asset datastructure instance ( 402, 404, 422 ), wherein the asset datastructure instance ( 402, 404, 422 ) indicates a state of the asset ( 182 - 188, 282 ) in the IIoT environment ( 180, 280 ); and generating the asset model ( 400 ) of the asset ( 182 - 188, 282 ) from a plurality of asset datastructure instances ( 402, 404, 422 ).",20200428,20220929,"System, device and method of managing an asset model for assets in an industrial internet of things (iiot) environment. The present invention discloses a system, device and method of managing an asset model for assets in an Industrial Internet of Things (IIoT) environment. The method includes receiving heterogenous data streams associated with the IIoT environment ( 180, 280 ); obtaining an asset datastructure instance ( 402, 404, 422 ), wherein the asset datastructure instance ( 402, 404, 422 ) indicates a state of the asset ( 182 - 188, 282 ) in the IIoT environment ( 180, 280 ); and generating the asset model ( 400 ) of the asset ( 182 - 188, 282 ) from a plurality of asset datastructure instances ( 402, 404, 422 )."
US-2022327925-A1,Method and system of predictive traffic flow and of traffic light control,"A traffic management system for controlling traffic flow in an area is provided. The system has sensors ( 10 ) positioned at respective junctions ( 2 ) in the area, forming a network of nodes ( 2 ). Software ( 25 ) processes the sensor signals to derive vehicle signatures indicative of a particular vehicle detected at the node at a particular time. This is used to track the progress of vehicles traveling across the network and derive vehicle statistics ( 60 ) as to traffic volumes ( 64 ), routes ( 66 ) and journey times ( 62 ) at various times. Artificial intelligence (AI) ( 80 ) trained on historical vehicle statistics arranged to predict traffic arriving at plural junctions at a future time based on receiving a current count of vehicles sensed at nodes in the network. Based on the prediction, a control plan for traffic lights ( 3 ) is determined to optimise traffic flow.",20220316,20221013,"Method and system of predictive traffic flow and of traffic light control. A traffic management system for controlling traffic flow in an area is provided. The system has sensors ( 10 ) positioned at respective junctions ( 2 ) in the area, forming a network of nodes ( 2 ). Software ( 25 ) processes the sensor signals to derive vehicle signatures indicative of a particular vehicle detected at the node at a particular time. This is used to track the progress of vehicles traveling across the network and derive vehicle statistics ( 60 ) as to traffic volumes ( 64 ), routes ( 66 ) and journey times ( 62 ) at various times. Artificial intelligence (AI) ( 80 ) trained on historical vehicle statistics arranged to predict traffic arriving at plural junctions at a future time based on receiving a current count of vehicles sensed at nodes in the network. Based on the prediction, a control plan for traffic lights ( 3 ) is determined to optimise traffic flow."
US-2022376782-A1,Learning-based method and system for configuring an optical time-domain reflectometer in a gigabit passive optical network,"The present disclosure provides a method and system for configuring an optical time domain reflectometer (OTDR) in a gigabit passive optical networks (PON), characterized by the steps of: collecting network data of the network to be scanned by switch controller to characterize said network; collecting data from various optical network terminals (ONTs) of the gigabit passive optical networks (GPON) by an OTDR and the Switch Controller to form a training database, the training data is used to train the method; optimizing the parameters of the optical time domain reflectometer (OTDR) based on the network data and the training database by a processor provided on the switching controller using machine learning. For point-to-multipoint (PMP) networks such as PON, the present method and system provides optimal set of parameters to configure OTDR before performing trace.",20181212,20221124,"Learning-based method and system for configuring an optical time-domain reflectometer in a gigabit passive optical network. The present disclosure provides a method and system for configuring an optical time domain reflectometer (OTDR) in a gigabit passive optical networks (PON), characterized by the steps of: collecting network data of the network to be scanned by switch controller to characterize said network; collecting data from various optical network terminals (ONTs) of the gigabit passive optical networks (GPON) by an OTDR and the Switch Controller to form a training database, the training data is used to train the method; optimizing the parameters of the optical time domain reflectometer (OTDR) based on the network data and the training database by a processor provided on the switching controller using machine learning. For point-to-multipoint (PMP) networks such as PON, the present method and system provides optimal set of parameters to configure OTDR before performing trace."
US-2022383146-A1,Method and Device for Training a Machine Learning Algorithm,"A method is provided for training a machine-learning algorithm which relies on primary data captured by at least one primary sensor. Labels are identified based on auxiliary data provided by at least one auxiliary sensor. A care attribute or a no-care attribute is assigned to each label by determining a perception capability of the primary sensor for the label based on the primary data and based on the auxiliary data. Model predictions for the labels are generated via the machine-learning algorithm. A loss function is defined for the model predictions. Negative contributions to the loss function are permitted for all labels. Positive contributions to the loss function are permitted for labels having a care attribute, while positive contributions to the loss function for labels having a no-care attribute are permitted only if a confidence of the model prediction for the respective label is greater than a threshold.",20220531,20221201,"Method and Device for Training a Machine Learning Algorithm. A method is provided for training a machine-learning algorithm which relies on primary data captured by at least one primary sensor. Labels are identified based on auxiliary data provided by at least one auxiliary sensor. A care attribute or a no-care attribute is assigned to each label by determining a perception capability of the primary sensor for the label based on the primary data and based on the auxiliary data. Model predictions for the labels are generated via the machine-learning algorithm. A loss function is defined for the model predictions. Negative contributions to the loss function are permitted for all labels. Positive contributions to the loss function are permitted for labels having a care attribute, while positive contributions to the loss function for labels having a no-care attribute are permitted only if a confidence of the model prediction for the respective label is greater than a threshold."
US-2021049032-A1,Methods and Devices for Virtualizing a Device Management Client in a Multi-Access Server Separate from a Device,"An exemplary client virtualization system implemented by a multi-access server receives a service request from an Internet of Things (“IoT”) device that is separate from and communicatively coupled to the multi-access server. In response to the service request, the client virtualization system instantiates a virtualized device management client configured to serve the IoT device and that is hosted on the multi-access server. The client virtualization system receives a device management message that is for the IoT device and that is from a centralized device management server. The client virtualization system then delivers the device management message to the IoT device. Corresponding methods and systems are also disclosed.",20190816,20210218,"Methods and Devices for Virtualizing a Device Management Client in a Multi-Access Server Separate from a Device. An exemplary client virtualization system implemented by a multi-access server receives a service request from an Internet of Things (“IoT”) device that is separate from and communicatively coupled to the multi-access server. In response to the service request, the client virtualization system instantiates a virtualized device management client configured to serve the IoT device and that is hosted on the multi-access server. The client virtualization system receives a device management message that is for the IoT device and that is from a centralized device management server. The client virtualization system then delivers the device management message to the IoT device. Corresponding methods and systems are also disclosed."
US-2021049699-A1,System and method for machine learning architecture for dynamic market stress platform,"Systems and methods for responsive stress testing that involve back-end machine learning models that produce enterprise market risk calculations and a front-end interface with graphical elements to visually interact with the machine learning models. The interface can load a particular model, specify ranges of each market variables (shock), and investigate how the market variables impact a portfolio based on the rendered graphical elements.",20200814,20210218,"System and method for machine learning architecture for dynamic market stress platform. Systems and methods for responsive stress testing that involve back-end machine learning models that produce enterprise market risk calculations and a front-end interface with graphical elements to visually interact with the machine learning models. The interface can load a particular model, specify ranges of each market variables (shock), and investigate how the market variables impact a portfolio based on the rendered graphical elements."
